#  Alaska Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,-6.4,-10.8
202002,1.5,-2.7
202003,12.0,-0.9
202004,27.5,4.2
202005,43.3,2.4
202006,50.5,-0.5
202007,53.2,-0.9
202008,52.1,0.9
202009,42.0,0.8
202010,28.9,0.5
202011,14.5,0.5
202012,10.6,3.0
202101,10.6,6.2
202102,1.0,-3.2
202103,9.1,-3.8
202104,23.9,0.6
202105,40.3,-0.6
202106,50.9,-0.1
202107,53.9,-0.2
202108,49.4,-1.8
202109,39.4,-1.8
202110,27.9,-0.5
202111,4.6,-9.4
202112,6.8,-0.8
202201,2.6,-1.8
202202,8.2,4.0
202203,16.7,3.8
202204,24.9,1.6
202205,40.1,-0.8
202206,52.7,1.7
202207,53.3,-0.8
202208,50.1,-1.1
202209,42.7,1.5
202210,28.8,0.4
202211,16.3,2.3
202212,7.1,-0.5
202301,10.9,6.5
202302,6.0,1.8
202303,13.6,0.7
202304,16.8,-6.5
202305,39.8,-1.1
202306,49.9,-1.1
202307,56.1,2.0
202308,53.3,2.1
202309,40.8,-0.4
202310,28.0,-0.4
202311,20.4,6.4
202312,5.8,-1.8
