#  Idaho Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,27.3,2.0
202002,26.2,1.2
202003,35.1,1.6
202004,41.6,1.7
202005,50.6,0.3
202006,56.2,-2.8
202007,64.9,-3.8
202008,67.1,0.5
202009,58.7,0.4
202010,45.4,-0.8
202011,32.7,0.1
202012,26.2,-0.2
202101,26.6,1.3
202102,25.4,0.4
202103,34.8,1.3
202104,42.0,2.1
202105,49.8,-0.5
202106,65.1,6.1
202107,71.8,3.1
202108,63.9,-2.7
202109,57.2,-1.1
202110,45.2,-1.0
202111,36.7,4.1
202112,26.5,0.1
202201,23.9,-1.4
202202,24.5,-0.5
202203,36.3,2.8
202204,37.2,-2.7
202205,46.4,-3.9
202206,57.3,-1.7
202207,69.4,0.7
202208,69.4,2.8
202209,60.8,2.5
202210,48.0,1.8
202211,26.4,-6.2
202212,22.8,-3.6
202301,23.4,-1.9
202302,23.9,-1.1
202303,27.8,-5.7
202304,38.7,-1.2
202305,54.3,4.0
202306,57.2,-1.8
202307,68.5,-0.2
202308,65.8,-0.8
202309,56.6,-1.7
202310,46.0,-0.2
202311,34.6,2.0
202312,29.9,3.5
