#  Illinois Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,31.8,2.3
202002,31.9,2.6
202003,44.4,0.7
202004,49.6,-1.7
202005,60.6,-2.2
202006,73.6,0.4
202007,77.3,1.5
202008,72.8,-1.1
202009,65.6,-2.0
202010,52.0,-3.5
202011,47.1,3.6
202012,33.0,-2.8
202101,29.5,0.0
202102,20.8,-8.5
202103,46.2,2.5
202104,52.5,1.2
202105,61.1,-1.7
202106,74.1,0.9
202107,74.6,-1.2
202108,75.5,1.6
202109,69.6,2.0
202110,60.2,4.7
202111,40.9,-2.6
202112,40.2,4.4
202201,22.2,-7.3
202202,28.0,-1.3
202203,43.1,-0.6
202204,49.6,-1.7
202205,65.3,2.5
202206,73.5,0.3
202207,75.8,0.0
202208,73.6,-0.3
202209,67.0,-0.6
202210,53.3,-2.2
202211,43.0,-0.5
202212,30.3,-5.5
202301,34.4,4.9
202302,36.3,7.0
202303,40.9,-2.8
202304,53.4,2.1
202305,64.1,1.3
202306,71.5,-1.7
202307,75.3,-0.5
202308,73.5,-0.4
202309,68.3,0.7
202310,56.6,1.1
202311,42.9,-0.6
202312,39.6,3.8
