#  Indiana Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.3,2.9
202002,32.8,1.6
202003,44.6,0.8
202004,48.9,-1.8
202005,59.7,-1.9
202006,72.1,0.6
202007,76.5,1.6
202008,72.0,-1.0
202009,65.2,-1.5
202010,53.1,-2.5
202011,46.7,3.5
202012,33.6,-2.8
202101,30.5,-0.9
202102,23.7,-7.5
202103,45.8,2.0
202104,51.9,1.2
202105,59.6,-2.0
202106,72.7,1.2
202107,73.7,-1.2
202108,75.0,2.0
202109,68.4,1.7
202110,60.2,4.6
202111,40.0,-3.2
202112,40.5,4.1
202201,24.3,-7.1
202202,29.8,-1.4
202203,43.7,-0.1
202204,49.3,-1.4
202205,64.9,3.3
202206,72.1,0.6
202207,75.3,0.4
202208,73.0,0.0
202209,66.1,-0.6
202210,52.8,-2.8
202211,43.1,-0.1
202212,31.7,-4.7
202301,36.4,5.0
202302,38.3,7.1
202303,40.9,-2.9
202304,52.7,2.0
202305,62.0,0.4
202306,69.2,-2.3
202307,74.2,-0.7
202308,71.8,-1.2
202309,67.0,0.3
202310,56.3,0.7
202311,43.0,-0.2
202312,39.9,3.5
