#  Iowa Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,23.1,1.6
202002,24.9,3.7
202003,40.3,1.9
202004,46.7,-0.6
202005,57.6,-2.6
202006,72.9,0.6
202007,75.3,1.6
202008,71.9,-0.4
202009,61.9,-3.3
202010,46.0,-5.3
202011,42.0,2.7
202012,27.2,-1.5
202101,23.9,2.4
202102,12.5,-8.7
202103,42.3,3.9
202104,49.3,2.0
202105,59.0,-1.2
202106,73.5,1.2
202107,73.4,-0.3
202108,72.9,0.6
202109,66.6,1.4
202110,55.5,4.2
202111,39.2,-0.1
202112,31.9,3.2
202201,14.9,-6.6
202202,21.3,0.1
202203,37.1,-1.3
202204,43.8,-3.5
202205,61.3,1.1
202206,71.6,-0.7
202207,74.2,0.5
202208,72.0,-0.3
202209,65.1,-0.1
202210,50.4,-0.9
202211,37.1,-2.2
202212,21.3,-7.4
202301,24.2,2.7
202302,26.1,4.9
202303,33.9,-4.5
202304,49.3,2.0
202305,62.7,2.5
202306,71.3,-1.0
202307,71.9,-1.8
202308,72.5,0.2
202309,67.2,2.0
202310,53.4,2.1
202311,38.8,-0.5
202312,34.5,5.8
