#  Kansas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.0,1.3
202002,34.9,3.4
202003,47.9,2.4
202004,52.7,-0.8
202005,61.7,-1.8
202006,77.7,2.0
202007,79.2,0.1
202008,76.4,-2.0
202009,66.3,-4.7
202010,52.6,-4.2
202011,48.1,2.8
202012,35.9,-0.8
202101,34.0,1.3
202102,24.1,-7.4
202103,48.1,2.6
202104,52.5,-1.0
202105,61.9,-1.6
202106,75.8,0.1
202107,77.7,-1.4
202108,79.1,0.7
202109,73.3,2.3
202110,59.1,2.3
202111,46.7,1.4
202112,41.1,4.4
202201,29.8,-2.9
202202,31.8,0.3
202203,44.0,-1.5
202204,54.1,0.6
202205,64.6,1.1
202206,75.8,0.1
202207,81.1,2.0
202208,79.2,0.8
202209,72.0,1.0
202210,57.7,0.9
202211,41.1,-4.2
202212,30.6,-6.1
202301,33.0,0.3
202302,35.2,3.7
202303,42.0,-3.5
202304,54.6,1.1
202305,65.9,2.4
202306,73.4,-2.3
202307,78.3,-0.8
202308,78.9,0.5
202309,72.4,1.4
202310,57.9,1.1
202311,45.2,-0.1
202312,39.2,2.5
