#  Kentucky Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,40.2,2.8
202002,39.7,0.7
202003,51.4,1.8
202004,52.8,-1.9
202005,62.2,-1.9
202006,72.6,0.0
202007,78.7,1.3
202008,74.8,-0.6
202009,68.3,-0.4
202010,57.8,-0.8
202011,49.9,3.0
202012,37.3,-4.0
202101,35.7,-1.7
202102,32.3,-6.7
202103,50.4,0.8
202104,54.6,-0.1
202105,62.4,-1.7
202106,73.4,0.8
202107,75.8,-1.6
202108,76.6,1.2
202109,68.9,0.2
202110,62.4,3.8
202111,43.4,-3.5
202112,47.6,6.3
202201,31.3,-6.1
202202,38.4,-0.6
202203,49.1,-0.5
202204,54.4,-0.3
202205,67.5,3.4
202206,74.0,1.4
202207,78.2,0.8
202208,75.3,-0.1
202209,68.1,-0.6
202210,55.0,-3.6
202211,46.8,-0.1
202212,37.8,-3.5
202301,42.4,5.0
202302,45.7,6.7
202303,47.3,-2.3
202304,56.8,2.1
202305,64.1,0.0
202306,70.3,-2.3
202307,76.7,-0.7
202308,74.7,-0.7
202309,69.6,0.9
202310,59.3,0.7
202311,47.5,0.6
202312,42.6,1.3
