#  Louisiana Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,53.7,1.6
202002,54.0,1.1
202003,67.3,4.3
202004,66.6,0.4
202005,73.0,-1.3
202006,79.7,-1.5
202007,82.8,-0.5
202008,82.2,-1.4
202009,77.6,-0.5
202010,68.2,-0.7
202011,61.9,3.3
202012,50.9,-4.2
202101,50.6,-1.5
202102,47.8,-5.1
202103,62.2,-0.8
202104,64.7,-1.5
202105,72.3,-2.0
202106,80.4,-0.8
202107,81.8,-1.5
202108,82.6,-1.0
202109,76.9,-1.2
202110,71.7,2.8
202111,56.4,-2.2
202112,62.4,7.3
202201,48.2,-3.9
202202,51.3,-1.6
202203,58.9,-4.1
202204,67.4,1.2
202205,77.0,2.7
202206,82.7,1.5
202207,83.9,0.6
202208,81.8,-1.8
202209,77.3,-0.8
202210,66.2,-2.7
202211,58.2,-0.4
202212,54.1,-1.0
202301,55.9,3.8
202302,58.3,5.4
202303,63.6,0.6
202304,66.1,-0.1
202305,74.8,0.5
202306,82.0,0.8
202307,84.8,1.5
202308,87.8,4.2
202309,80.6,2.5
202310,69.5,0.6
202311,58.0,-0.6
202312,53.1,-2.0
