#  Maine Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,20.8,1.5
202002,20.1,1.1
202003,29.6,0.0
202004,37.7,-3.1
202005,51.2,-1.1
202006,62.5,0.7
202007,68.9,1.3
202008,65.6,-0.5
202009,56.8,-1.7
202010,44.7,-4.2
202011,37.0,1.7
202012,27.2,0.1
202101,21.4,2.1
202102,18.5,-0.5
202103,29.4,-0.2
202104,43.2,2.4
202105,52.4,0.1
202106,64.9,3.1
202107,63.7,-3.9
202108,68.2,2.1
202109,59.0,0.5
202110,50.2,1.3
202111,35.3,0.0
202112,24.5,-2.6
202201,10.8,-8.5
202202,19.2,0.2
202203,29.0,-0.6
202204,40.6,-0.2
202205,54.4,2.1
202206,60.1,-1.7
202207,67.8,0.2
202208,67.3,1.2
202209,57.2,-1.3
202210,49.2,0.3
202211,37.4,2.1
202212,27.6,0.5
202301,24.1,4.8
202302,18.2,-0.8
202303,30.2,0.6
202304,41.7,0.9
202305,51.3,-1.0
202306,59.8,-2.0
202307,69.9,2.3
202308,63.4,-2.7
202309,60.9,2.4
202310,51.6,2.7
202311,31.6,-3.7
202312,28.9,1.8
