#  Maryland Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,39.1,2.2
202002,41.0,1.9
202003,49.3,2.2
202004,51.6,-2.9
202005,60.5,-1.6
202006,72.7,0.9
202007,80.1,1.8
202008,76.6,0.2
202009,67.3,-1.4
202010,59.0,0.0
202011,50.9,3.5
202012,38.3,-2.0
202101,35.4,-1.5
202102,34.2,-4.9
202103,47.2,0.1
202104,55.0,0.5
202105,62.2,0.1
202106,73.1,1.3
202107,77.2,-1.1
202108,77.1,0.7
202109,69.6,0.9
202110,62.9,3.9
202111,44.4,-3.0
202112,43.8,3.5
202201,30.9,-6.0
202202,38.4,-0.7
202203,46.7,-0.4
202204,53.1,-1.4
202205,64.6,2.5
202206,72.1,0.3
202207,77.7,-0.6
202208,76.7,0.3
202209,68.5,-0.2
202210,54.6,-4.4
202211,48.8,1.4
202212,36.5,-3.8
202301,42.0,5.1
202302,42.8,3.7
202303,45.1,-2.0
202304,58.1,3.6
202305,60.9,-1.2
202306,69.3,-2.5
202307,78.2,-0.1
202308,75.1,-1.3
202309,69.4,0.7
202310,59.4,0.4
202311,45.3,-2.1
202312,42.5,2.2
