#  Massachusetts Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,32.0,2.1
202002,32.4,1.9
202003,40.2,1.7
202004,43.1,-3.8
202005,56.2,-1.3
202006,67.6,0.9
202007,74.6,1.7
202008,71.7,0.0
202009,62.8,-0.9
202010,52.4,-1.9
202011,44.7,2.5
202012,33.1,-1.9
202101,28.8,-1.1
202102,27.6,-2.9
202103,38.3,-0.2
202104,47.8,0.9
202105,57.6,0.1
202106,69.2,2.5
202107,69.8,-3.1
202108,72.7,1.0
202109,64.8,1.1
202110,56.3,2.0
202111,40.8,-1.4
202112,36.0,1.0
202201,23.5,-6.4
202202,29.9,-0.6
202203,38.1,-0.4
202204,47.0,0.1
202205,59.8,2.3
202206,65.6,-1.1
202207,73.3,0.4
202208,73.9,2.2
202209,62.4,-1.3
202210,52.4,-1.9
202211,44.6,2.4
202212,33.1,-1.9
202301,35.2,5.3
202302,32.2,1.7
202303,37.5,-1.0
202304,49.8,2.9
202305,56.2,-1.3
202306,64.5,-2.2
202307,73.9,1.0
202308,68.5,-3.2
202309,64.6,0.9
202310,55.9,1.6
202311,38.8,-3.4
202312,37.8,2.8
