#  Arizona Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,43.7,1.1
202002,45.9,1.3
202003,51.0,1.1
202004,59.3,-0.6
202005,70.5,2.1
202006,76.8,-0.3
202007,82.8,-0.2
202008,84.1,3.3
202009,75.6,0.6
202010,66.2,3.1
202011,53.5,1.5
202012,42.0,-2.0
202101,42.6,0.0
202102,46.5,1.9
202103,49.4,-0.5
202104,61.2,1.3
202105,67.9,-0.5
202106,80.6,3.5
202107,81.4,-1.6
202108,79.5,-1.3
202109,74.8,-0.2
202110,59.9,-3.2
202111,55.8,3.8
202112,45.6,1.6
202201,43.5,0.9
202202,44.0,-0.6
202203,51.8,1.9
202204,60.5,0.6
202205,68.6,0.2
202206,78.6,1.5
202207,82.2,-0.8
202208,79.0,-1.8
202209,75.9,0.9
202210,61.8,-1.3
202211,46.1,-5.9
202212,42.8,-1.2
202301,40.4,-2.2
202302,41.9,-2.7
202303,47.3,-2.6
202304,58.4,-1.5
202305,66.6,-1.8
202306,72.4,-4.7
202307,85.4,2.4
202308,80.7,-0.1
202309,73.7,-1.3
202310,64.4,1.3
202311,52.6,0.6
202312,45.4,1.4
