#  Michigan Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,27.0,3.1
202002,23.7,1.9
202003,35.0,1.4
202004,40.2,-2.4
202005,53.2,-1.8
202006,66.0,0.1
202007,72.5,2.8
202008,68.6,0.2
202009,58.2,-2.5
202010,44.4,-5.2
202011,41.1,3.0
202012,28.6,-1.6
202101,25.0,1.1
202102,17.4,-4.4
202103,36.8,3.2
202104,45.1,2.5
202105,54.0,-1.0
202106,67.8,1.9
202107,68.7,-1.0
202108,71.0,2.6
202109,61.4,0.7
202110,55.2,5.6
202111,36.3,-1.8
202112,30.1,-0.1
202201,15.4,-8.5
202202,19.5,-2.3
202203,31.0,-2.6
202204,40.2,-2.4
202205,57.6,2.6
202206,65.0,-0.9
202207,69.2,-0.5
202208,68.2,-0.2
202209,60.9,0.2
202210,48.3,-1.3
202211,38.6,0.5
202212,26.9,-3.3
202301,28.2,4.3
202302,26.5,4.7
202303,31.4,-2.2
202304,44.9,2.3
202305,55.0,0.0
202306,64.7,-1.2
202307,68.4,-1.3
202308,65.7,-2.7
202309,62.1,1.4
202310,50.5,0.9
202311,36.3,-1.8
202312,35.1,4.9
