#  Minnesota Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,14.1,1.3
202002,14.0,3.7
202003,30.4,2.0
202004,39.4,0.5
202005,53.5,-2.3
202006,67.7,-0.5
202007,71.3,1.4
202008,68.2,0.0
202009,56.5,-4.0
202010,38.9,-7.3
202011,33.9,1.8
202012,21.0,0.7
202101,18.2,5.4
202102,6.5,-3.8
202103,35.6,7.2
202104,42.3,3.4
202105,55.1,-0.7
202106,69.9,1.7
202107,71.1,1.2
202108,69.4,1.2
202109,61.6,1.1
202110,51.5,5.3
202111,32.2,0.1
202112,18.2,-2.1
202201,3.6,-9.2
202202,6.5,-3.8
202203,26.1,-2.3
202204,35.6,-3.3
202205,55.3,-0.5
202206,66.2,-2.0
202207,69.7,-0.2
202208,67.3,-0.9
202209,60.3,-0.2
202210,46.9,0.7
202211,30.0,-2.1
202212,12.5,-7.8
202301,15.2,2.4
202302,14.1,3.8
202303,21.3,-7.1
202304,38.3,-0.6
202305,59.3,3.5
202306,68.9,0.7
202307,67.3,-2.6
202308,67.9,-0.3
202309,63.5,3.0
202310,47.6,1.4
202311,32.4,0.3
202312,29.6,9.3
