#  Mississippi Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,50.1,1.8
202002,51.1,1.2
202003,64.1,3.9
202004,62.9,-0.2
202005,70.3,-1.6
202006,78.1,-1.1
202007,82.1,0.0
202008,80.2,-1.3
202009,75.3,-0.4
202010,65.8,-0.1
202011,58.4,3.1
202012,47.0,-4.4
202101,46.6,-1.7
202102,44.2,-5.7
202103,60.0,-0.2
202104,61.8,-1.3
202105,69.9,-2.0
202106,78.1,-1.1
202107,80.4,-1.7
202108,80.8,-0.7
202109,74.8,-0.9
202110,68.3,2.4
202111,52.7,-2.6
202112,58.6,7.2
202201,44.2,-4.1
202202,48.7,-1.2
202203,57.1,-3.1
202204,64.0,0.9
202205,75.0,3.1
202206,81.2,2.0
202207,82.9,0.8
202208,80.2,-1.3
202209,74.8,-0.9
202210,62.8,-3.1
202211,55.0,-0.3
202212,50.1,-1.3
202301,52.3,4.0
202302,55.4,5.5
202303,59.4,-0.8
202304,63.7,0.6
202305,72.4,0.5
202306,79.2,0.0
202307,82.8,0.7
202308,84.6,3.1
202309,77.8,2.1
202310,66.6,0.7
202311,55.2,-0.1
202312,49.8,-1.6
