#  Missouri Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.5,1.1
202002,35.4,2.3
202003,48.8,1.6
202004,53.1,-1.0
202005,62.0,-2.1
202006,75.1,0.3
202007,79.2,0.8
202008,74.2,-1.9
202009,67.3,-2.4
202010,53.6,-3.6
202011,49.6,3.2
202012,36.3,-2.7
202101,33.6,0.2
202102,24.4,-8.7
202103,49.9,2.7
202104,54.2,0.1
202105,62.3,-1.8
202106,74.9,0.1
202107,76.7,-1.7
202108,77.4,1.3
202109,71.5,1.8
202110,60.5,3.3
202111,45.5,-0.9
202112,44.7,5.7
202201,28.4,-5.0
202202,32.5,-0.6
202203,46.1,-1.1
202204,53.0,-1.1
202205,65.9,1.8
202206,75.3,0.5
202207,79.8,1.4
202208,76.4,0.3
202209,69.5,-0.2
202210,56.0,-1.2
202211,44.3,-2.1
202212,33.1,-5.9
202301,37.2,3.8
202302,39.9,6.8
202303,43.8,-3.4
202304,56.1,2.0
202305,66.0,1.9
202306,73.8,-1.0
202307,77.8,-0.6
202308,76.4,0.3
202309,70.3,0.6
202310,58.7,1.5
202311,46.1,-0.3
202312,41.9,2.9
