#  Montana Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,23.4,-0.6
202002,25.6,4.3
202003,31.6,0.4
202004,38.3,0.0
202005,50.6,-0.4
202006,59.3,-1.6
202007,65.6,-3.0
202008,67.4,0.2
202009,57.0,-1.6
202010,39.3,-4.3
202011,32.8,1.2
202012,28.5,5.1
202101,26.7,2.7
202102,13.7,-7.6
202103,36.1,4.9
202104,40.5,2.2
202105,48.6,-2.4
202106,65.3,4.4
202107,72.5,3.9
202108,64.7,-2.5
202109,58.3,-0.3
202110,45.6,2.0
202111,36.3,4.7
202112,19.3,-4.1
202201,22.9,-1.1
202202,22.6,1.3
202203,33.5,2.3
202204,35.2,-3.1
202205,48.5,-2.5
202206,58.5,-2.4
202207,69.0,0.4
202208,69.7,2.5
202209,60.6,2.0
202210,47.1,3.5
202211,22.7,-8.9
202212,14.6,-8.8
202301,22.9,-1.1
202302,23.3,2.0
202303,23.4,-7.8
202304,39.2,0.9
202305,56.3,5.3
202306,60.4,-0.5
202307,67.4,-1.2
202308,66.8,-0.4
202309,58.5,-0.1
202310,42.4,-1.2
202311,34.5,2.9
202312,31.3,7.9
