#  Nebraska Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,27.2,0.5
202002,29.6,4.6
202003,41.1,2.3
202004,46.1,-0.8
202005,56.8,-2.1
202006,73.5,1.6
202007,75.3,0.4
202008,74.0,-0.3
202009,62.7,-3.6
202010,46.4,-4.3
202011,42.6,2.4
202012,31.3,0.8
202101,29.3,2.6
202102,16.5,-8.5
202103,42.6,3.8
202104,46.9,0.0
202105,57.9,-1.0
202106,72.8,0.9
202107,75.0,0.1
202108,74.3,0.0
202109,67.6,1.3
202110,53.2,2.5
202111,42.6,2.4
202112,33.8,3.3
202201,25.6,-1.1
202202,26.9,1.9
202203,38.1,-0.7
202204,46.6,-0.3
202205,58.7,-0.2
202206,71.4,-0.5
202207,76.5,1.6
202208,75.0,0.7
202209,67.5,1.2
202210,52.2,1.5
202211,34.6,-5.6
202212,22.7,-7.8
202301,24.8,-1.9
202302,26.8,1.8
202303,33.5,-5.3
202304,48.1,1.2
202305,62.0,3.1
202306,69.8,-2.1
202307,72.8,-2.1
202308,73.8,-0.5
202309,67.3,1.0
202310,51.1,0.4
202311,40.8,0.6
202312,34.0,3.5
