#  Nevada Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,35.3,2.2
202002,36.3,2.0
202003,40.5,1.3
202004,48.8,0.8
202005,58.8,1.8
202006,65.0,-1.6
202007,74.2,-2.0
202008,75.6,2.2
202009,66.6,1.1
202010,55.3,2.4
202011,40.5,0.3
202012,32.4,-1.0
202101,33.7,0.6
202102,35.6,1.3
202103,39.2,0.0
202104,49.3,1.3
202105,57.2,0.2
202106,72.6,6.0
202107,77.8,1.6
202108,72.4,-1.0
202109,65.5,0.0
202110,49.6,-3.3
202111,45.2,5.0
202112,32.4,-1.0
202201,34.2,1.1
202202,34.6,0.3
202203,43.3,4.1
202204,47.3,-0.7
202205,54.5,-2.5
202206,66.9,0.3
202207,76.3,0.1
202208,74.4,1.0
202209,67.6,2.1
202210,54.3,1.4
202211,34.3,-5.9
202212,31.7,-1.7
202301,29.2,-3.9
202302,30.8,-3.5
202303,33.7,-5.5
202304,46.7,-1.3
202305,57.4,0.4
202306,62.0,-4.6
202307,76.3,0.1
202308,71.1,-2.3
202309,62.1,-3.4
202310,52.3,-0.6
202311,40.7,0.5
202312,37.1,3.7
