#  New Hampshire Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,25.2,2.2
202002,24.2,1.1
202003,34.2,1.5
202004,39.6,-3.2
202005,53.4,-1.1
202006,64.0,0.5
202007,71.1,2.1
202008,66.5,-1.0
202009,58.5,-1.2
202010,47.0,-3.0
202011,38.5,1.6
202012,28.0,-1.4
202101,23.0,0.0
202102,20.6,-2.5
202103,32.4,-0.3
202104,44.0,1.2
202105,54.5,0.0
202106,66.1,2.6
202107,65.6,-3.4
202108,69.2,1.7
202109,60.5,0.8
202110,52.1,2.1
202111,35.9,-1.0
202112,28.9,-0.5
202201,14.7,-8.3
202202,23.5,0.4
202203,32.0,-0.7
202204,42.6,-0.2
202205,57.2,2.7
202206,61.8,-1.7
202207,68.7,-0.3
202208,69.8,2.3
202209,58.2,-1.5
202210,48.7,-1.3
202211,39.5,2.6
202212,28.3,-1.1
202301,29.0,6.0
202302,24.2,1.1
202303,32.3,-0.4
202304,45.0,2.2
202305,52.9,-1.6
202306,61.9,-1.6
202307,70.5,1.5
202308,64.5,-3.0
202309,61.7,2.0
202310,52.3,2.3
202311,33.6,-3.3
202312,32.4,3.0
