#  New Jersey Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,37.3,2.1
202002,39.1,2.6
202003,46.3,2.2
202004,48.7,-3.3
202005,59.1,-1.5
202006,71.5,1.2
202007,78.8,1.4
202008,75.5,0.1
202009,66.8,-1.0
202010,57.0,-0.6
202011,49.2,3.2
202012,37.0,-1.8
202101,33.7,-1.5
202102,32.0,-4.5
202103,44.0,-0.1
202104,52.6,0.6
202105,60.8,0.2
202106,71.8,1.5
202107,75.7,-1.7
202108,75.9,0.5
202109,68.7,0.9
202110,61.0,3.4
202111,43.6,-2.4
202112,41.2,2.4
202201,28.6,-6.6
202202,35.6,-0.9
202203,43.9,-0.2
202204,51.1,-0.9
202205,63.2,2.6
202206,69.9,-0.4
202207,77.9,0.5
202208,77.2,1.8
202209,67.6,-0.2
202210,54.0,-3.6
202211,47.6,1.6
202212,35.5,-3.3
202301,41.2,6.0
202302,39.2,2.7
202303,42.2,-1.9
202304,55.4,3.4
202305,59.3,-1.3
202306,67.8,-2.5
202307,77.1,-0.3
202308,73.1,-2.3
202309,68.0,0.2
202310,58.5,0.9
202311,43.4,-2.6
202312,41.5,2.7
