#  New Mexico Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,37.1,1.3
202002,38.5,1.5
202003,48.0,2.7
202004,54.0,0.4
202005,65.1,1.4
202006,72.5,0.5
202007,76.6,0.4
202008,76.2,2.3
202009,65.0,-2.6
202010,56.6,0.7
202011,47.5,2.3
202012,35.0,-3.2
202101,35.1,-0.7
202102,37.3,0.3
202103,44.8,-0.5
202104,53.2,-0.4
202105,62.7,-1.0
202106,73.1,1.1
202107,73.3,-2.9
202108,72.2,-1.7
202109,68.3,0.7
202110,55.6,-0.3
202111,47.6,2.4
202112,42.0,3.8
202201,35.6,-0.2
202202,35.0,-2.0
202203,44.4,-0.9
202204,55.3,1.7
202205,64.8,1.1
202206,72.6,0.6
202207,76.3,0.1
202208,71.9,-2.0
202209,68.0,0.4
202210,53.9,-2.0
202211,40.1,-5.1
202212,37.2,-1.0
202301,35.4,-0.4
202302,37.1,0.1
202303,43.9,-1.4
202304,52.0,-1.6
202305,62.3,-1.4
202306,69.7,-2.3
202307,78.7,2.5
202308,75.2,1.3
202309,68.9,1.3
202310,57.4,1.5
202311,45.4,0.2
202312,38.5,0.3
