#  Arkansas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,43.9,1.3
202002,44.5,1.9
202003,56.5,2.3
202004,58.8,-0.6
202005,66.8,-1.9
202006,76.4,-0.8
202007,81.3,-0.2
202008,77.8,-2.1
202009,71.8,-1.9
202010,59.4,-3.2
202011,54.0,2.8
202012,42.6,-3.7
202101,41.4,-1.2
202102,34.8,-7.8
202103,55.2,1.0
202104,58.4,-1.0
202105,66.8,-1.9
202106,76.9,-0.3
202107,79.4,-2.1
202108,80.7,0.8
202109,74.3,0.6
202110,65.5,2.9
202111,49.4,-1.8
202112,53.4,7.1
202201,38.7,-3.9
202202,42.2,-0.4
202203,52.1,-2.1
202204,59.9,0.5
202205,71.0,2.3
202206,78.2,1.0
202207,84.1,2.6
202208,79.4,-0.5
202209,73.8,0.1
202210,61.4,-1.2
202211,49.8,-1.4
202212,43.2,-3.1
202301,46.4,3.8
202302,48.8,6.2
202303,53.0,-1.2
202304,60.3,0.9
202305,70.0,1.3
202306,77.3,0.1
202307,81.0,-0.5
202308,81.7,1.8
202309,74.8,1.1
202310,64.0,1.4
202311,51.7,0.5
202312,46.0,-0.3
