#  North Carolina Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,46.0,2.9
202002,47.0,0.4
202003,55.9,2.3
202004,57.4,-1.4
202005,63.6,-1.9
202006,73.2,0.0
202007,79.6,1.0
202008,77.5,0.2
202009,69.7,-0.6
202010,63.0,1.6
202011,54.8,3.2
202012,42.2,-3.0
202101,40.8,-2.3
202102,42.2,-4.4
202103,53.1,-0.5
202104,58.6,-0.2
202105,65.5,0.0
202106,73.8,0.6
202107,77.1,-1.5
202108,77.8,0.5
202109,70.6,0.3
202110,64.4,3.0
202111,48.1,-3.5
202112,50.8,5.6
202201,38.7,-4.4
202202,46.0,-0.6
202203,53.4,-0.2
202204,58.8,0.0
202205,68.8,3.3
202206,75.1,1.9
202207,79.1,0.5
202208,76.5,-0.8
202209,70.3,0.0
202210,57.4,-4.0
202211,53.2,1.6
202212,41.8,-3.4
202301,46.7,3.6
202302,51.2,4.6
202303,52.1,-1.5
202304,60.2,1.4
202305,64.1,-1.4
202306,70.8,-2.4
202307,78.5,-0.1
202308,77.2,-0.1
202309,70.7,0.4
202310,60.8,-0.6
202311,50.1,-1.5
202312,46.0,0.8
