#  North Dakota Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,12.9,-1.0
202002,17.8,5.9
202003,29.8,3.1
202004,37.6,0.9
202005,52.5,-2.1
202006,66.9,-0.6
202007,70.3,-0.2
202008,69.2,0.3
202009,57.1,-3.5
202010,37.8,-6.2
202011,31.8,2.2
202012,23.4,5.7
202101,21.0,7.1
202102,5.8,-6.1
202103,35.9,9.2
202104,40.7,4.0
202105,52.8,-1.8
202106,69.3,1.8
202107,73.8,3.3
202108,68.9,0.0
202109,62.2,1.6
202110,48.6,4.6
202111,32.6,3.0
202112,14.0,-3.7
202201,8.7,-5.2
202202,9.4,-2.5
202203,26.9,0.2
202204,33.6,-3.1
202205,52.9,-1.7
202206,64.6,-2.9
202207,70.7,0.2
202208,69.5,0.6
202209,61.0,0.4
202210,46.0,2.0
202211,23.1,-6.5
202212,6.7,-11.0
202301,13.1,-0.8
202302,14.5,2.6
202303,14.0,-12.7
202304,34.7,-2.0
202305,60.1,5.5
202306,69.2,1.7
202307,67.2,-3.3
202308,67.9,-1.0
202309,61.9,1.3
202310,43.7,-0.3
202311,31.0,1.4
202312,26.7,9.0
