#  Ohio Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.9,3.3
202002,32.8,1.0
202003,44.7,1.4
202004,47.8,-2.2
202005,58.4,-1.7
202006,70.4,0.5
202007,76.9,2.5
202008,72.2,-0.2
202009,64.7,-1.0
202010,53.5,-1.9
202011,46.4,3.1
202012,33.6,-3.1
202101,30.9,-0.7
202102,25.2,-6.6
202103,44.8,1.5
202104,51.4,1.4
202105,58.8,-1.3
202106,71.5,1.6
202107,73.0,-1.4
202108,74.6,2.2
202109,66.9,1.2
202110,60.3,4.9
202111,40.5,-2.8
202112,40.2,3.5
202201,24.0,-7.6
202202,30.7,-1.1
202203,43.2,-0.1
202204,48.6,-1.4
202205,63.8,3.7
202206,70.6,0.7
202207,74.0,-0.4
202208,72.2,-0.2
202209,65.2,-0.5
202210,52.0,-3.4
202211,43.9,0.6
202212,32.6,-4.1
202301,36.7,5.1
202302,38.6,6.8
202303,40.6,-2.7
202304,52.3,2.3
202305,59.4,-0.7
202306,66.9,-3.0
202307,73.5,-0.9
202308,70.6,-1.8
202309,65.9,0.2
202310,55.9,0.5
202311,42.2,-1.1
202312,40.3,3.6
