#  Oklahoma Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,42.2,1.9
202002,41.8,2.9
202003,55.5,2.9
202004,57.9,-0.8
202005,67.2,-1.0
202006,78.8,0.7
202007,82.6,-0.2
202008,79.4,-2.3
202009,70.3,-4.6
202010,58.3,-3.5
202011,53.5,2.7
202012,41.0,-3.1
202101,39.7,-0.6
202102,31.3,-7.6
202103,53.9,1.3
202104,57.4,-1.3
202105,65.9,-2.3
202106,77.4,-0.7
202107,80.0,-2.8
202108,81.3,-0.4
202109,76.7,1.8
202110,64.4,2.6
202111,51.2,0.4
202112,50.4,6.3
202201,37.0,-3.3
202202,38.5,-0.4
202203,50.4,-2.2
202204,61.0,2.3
202205,70.6,2.4
202206,79.4,1.3
202207,86.6,3.8
202208,82.5,0.8
202209,75.9,1.0
202210,62.0,0.2
202211,47.3,-3.5
202212,40.1,-4.0
202301,42.4,2.1
202302,43.9,5.0
202303,50.4,-2.2
202304,58.6,-0.1
202305,69.1,0.9
202306,76.7,-1.4
202307,81.9,-0.9
202308,83.7,2.0
202309,76.7,1.8
202310,62.5,0.7
202311,51.0,0.2
202312,44.9,0.8
