#  Oregon Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.9,0.7
202002,35.8,1.4
202003,38.8,0.6
202004,46.3,2.2
202005,52.6,0.6
202006,57.9,-2.3
202007,66.0,-2.9
202008,67.2,-0.7
202009,62.6,2.0
202010,51.3,0.6
202011,38.3,-0.2
202012,34.2,0.5
202101,34.8,0.6
202102,33.6,-0.8
202103,39.0,0.8
202104,46.6,2.5
202105,52.0,0.0
202106,65.2,5.0
202107,71.4,2.5
202108,66.4,-1.5
202109,59.4,-1.2
202110,47.6,-3.1
202111,41.9,3.4
202112,32.4,-1.3
202201,34.9,0.7
202202,35.6,1.2
202203,41.9,3.7
202204,40.6,-3.5
202205,48.1,-3.9
202206,58.3,-1.9
202207,69.3,0.4
202208,70.4,2.5
202209,62.5,1.9
202210,53.8,3.1
202211,33.7,-4.8
202212,30.6,-3.1
202301,32.0,-2.2
202302,32.4,-2.0
202303,33.2,-5.0
202304,42.8,-1.3
202305,55.3,3.3
202306,59.3,-0.9
202307,68.9,0.0
202308,67.7,-0.2
202309,57.7,-2.9
202310,50.0,-0.7
202311,39.9,1.4
202312,37.4,3.7
