#  Pennsylvania Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,32.2,2.2
202002,33.3,1.9
202003,42.5,2.4
202004,45.1,-3.2
202005,56.0,-1.4
202006,67.2,0.3
202007,74.9,2.2
202008,71.6,0.5
202009,62.1,-1.2
202010,52.2,-1.2
202011,44.8,3.2
202012,32.1,-2.5
202101,29.4,-0.6
202102,26.6,-4.8
202103,40.7,0.6
202104,49.3,1.0
202105,57.0,-0.4
202106,68.6,1.7
202107,71.2,-1.5
202108,72.6,1.5
202109,64.3,1.0
202110,57.7,4.3
202111,39.0,-2.6
202112,37.6,3.0
202201,22.5,-7.5
202202,29.7,-1.7
202203,39.4,-0.7
202204,47.0,-1.3
202205,60.5,3.1
202206,67.1,0.2
202207,72.3,-0.4
202208,71.4,0.3
202209,63.0,-0.3
202210,49.4,-4.0
202211,42.8,1.2
202212,30.6,-4.0
202301,35.8,5.8
202302,35.8,4.4
202303,37.8,-2.3
202304,51.7,3.4
202305,56.2,-1.2
202306,64.5,-2.4
202307,72.3,-0.4
202308,68.9,-2.2
202309,63.6,0.3
202310,54.2,0.8
202311,39.6,-2.0
202312,37.9,3.3
