#  Rhode Island Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,35.3,2.4
202002,35.4,2.1
202003,42.6,1.8
202004,44.1,-3.9
202005,56.6,-1.2
202006,68.1,1.0
202007,75.4,1.6
202008,73.8,0.8
202009,64.5,-0.6
202010,54.6,-1.5
202011,47.5,2.9
202012,35.7,-1.7
202101,31.3,-1.6
202102,30.9,-2.4
202103,40.2,-0.6
202104,48.8,0.8
202105,58.0,0.2
202106,69.6,2.5
202107,71.2,-2.6
202108,73.6,0.6
202109,66.4,1.3
202110,58.4,2.3
202111,42.9,-1.7
202112,38.6,1.2
202201,27.0,-5.9
202202,32.4,-0.9
202203,40.6,-0.2
202204,48.4,0.4
202205,60.4,2.6
202206,66.3,-0.8
202207,74.4,0.6
202208,75.0,2.0
202209,63.6,-1.5
202210,54.4,-1.7
202211,46.8,2.2
202212,35.5,-1.9
202301,37.8,4.9
202302,34.3,1.0
202303,39.7,-1.1
202304,50.7,2.7
202305,56.2,-1.6
202306,64.5,-2.6
202307,74.3,0.5
202308,69.6,-3.4
202309,65.8,0.7
202310,56.9,0.8
202311,41.0,-3.6
202312,39.8,2.4
