#  South Carolina Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,50.3,2.7
202002,50.9,-0.6
202003,60.4,2.2
202004,62.1,-0.3
202005,68.0,-1.3
202006,76.1,-0.4
202007,81.9,0.9
202008,80.1,0.1
202009,73.3,-0.2
202010,67.4,2.7
202011,59.3,3.8
202012,45.6,-3.3
202101,46.0,-1.6
202102,47.2,-4.3
202103,57.6,-0.6
202104,62.0,-0.4
202105,69.1,-0.2
202106,76.8,0.3
202107,79.4,-1.6
202108,80.1,0.1
202109,73.5,0.0
202110,66.8,2.1
202111,51.6,-3.9
202112,54.6,5.7
202201,43.6,-4.0
202202,51.8,0.3
202203,57.7,-0.5
202204,62.3,-0.1
202205,72.8,3.5
202206,78.9,2.4
202207,81.3,0.3
202208,79.0,-1.0
202209,73.8,0.3
202210,60.9,-3.8
202211,57.0,1.5
202212,46.1,-2.8
202301,50.4,2.8
202302,56.0,4.5
202303,57.0,-1.2
202304,63.3,0.9
202305,67.3,-2.0
202306,74.1,-2.4
202307,81.3,0.3
202308,80.8,0.8
202309,73.4,-0.1
202310,63.8,-0.9
202311,54.2,-1.3
202312,49.3,0.4
