#  South Dakota Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,20.1,-1.3
202002,23.5,3.9
202003,36.4,3.1
202004,42.0,0.3
202005,54.2,-2.3
202006,70.3,0.3
202007,73.5,-0.1
202008,72.6,0.1
202009,60.4,-3.5
202010,41.2,-6.1
202011,38.6,2.8
202012,28.3,3.5
202101,26.5,5.1
202102,12.8,-6.8
202103,39.4,6.1
202104,43.6,1.9
202105,55.0,-1.5
202106,72.3,2.3
202107,75.3,1.7
202108,72.5,0.0
202109,65.0,1.1
202110,51.2,3.9
202111,38.2,2.4
202112,24.5,-0.3
202201,19.1,-2.3
202202,20.0,0.4
202203,33.4,0.1
202204,39.7,-2.0
202205,55.4,-1.1
202206,67.6,-2.4
202207,74.6,1.0
202208,73.2,0.7
202209,65.4,1.5
202210,49.4,2.1
202211,29.2,-6.6
202212,15.1,-9.7
202301,20.0,-1.4
202302,22.0,2.4
202303,23.9,-9.4
202304,41.3,-0.4
202305,61.2,4.7
202306,69.7,-0.3
202307,70.8,-2.8
202308,71.6,-0.9
202309,64.9,1.0
202310,47.3,0.0
202311,37.0,1.2
202312,31.2,6.4
