#  California Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,45.3,0.4
202002,49.2,2.5
202003,48.0,-0.3
202004,56.6,0.1
202005,64.6,1.2
202006,70.4,-0.7
202007,76.6,-1.7
202008,78.9,1.3
202009,74.0,2.0
202010,66.2,3.6
202011,50.9,-0.2
202012,45.5,0.3
202101,45.5,0.6
202102,47.4,0.7
202103,48.2,-0.1
202104,58.2,1.7
202105,64.5,1.1
202106,74.9,3.8
202107,79.8,1.5
202108,77.0,-0.6
202109,72.2,0.2
202110,58.2,-4.4
202111,54.8,3.7
202112,43.5,-1.7
202201,46.2,1.3
202202,47.4,0.7
202203,52.9,4.6
202204,55.9,-0.6
202205,62.4,-1.0
202206,72.0,0.9
202207,77.6,-0.7
202208,78.4,0.8
202209,73.8,1.8
202210,63.7,1.1
202211,46.8,-4.3
202212,43.5,-1.7
202301,42.7,-2.2
202302,42.7,-4.0
202303,44.2,-4.1
202304,55.3,-1.2
202305,62.0,-1.4
202306,66.9,-4.2
202307,79.0,0.7
202308,75.9,-1.7
202309,68.0,-4.0
202310,62.2,-0.4
202311,51.9,0.8
202312,48.1,2.9
