#  Tennessee Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,43.0,2.2
202002,43.4,0.6
202003,54.7,2.1
202004,55.4,-1.1
202005,64.0,-1.8
202006,73.5,-0.3
202007,79.2,0.8
202008,76.4,-0.2
202009,69.9,-0.1
202010,60.4,0.1
202011,51.9,2.8
202012,39.5,-4.2
202101,39.7,-1.1
202102,37.4,-5.4
202103,53.6,1.0
202104,56.2,-0.3
202105,64.1,-1.7
202106,74.0,0.2
202107,77.0,-1.4
202108,77.2,0.6
202109,69.7,-0.3
202110,63.4,3.1
202111,45.6,-3.5
202112,50.4,6.7
202201,35.5,-5.3
202202,41.8,-1.0
202203,51.6,-1.0
202204,56.7,0.2
202205,69.0,3.2
202206,75.8,2.0
202207,80.2,1.8
202208,76.4,-0.2
202209,69.4,-0.6
202210,56.3,-4.0
202211,49.0,-0.1
202212,40.8,-2.9
202301,44.9,4.1
202302,48.6,5.8
202303,50.5,-2.1
202304,57.8,1.3
202305,66.1,0.3
202306,71.9,-1.9
202307,77.2,-1.2
202308,76.2,-0.4
202309,70.9,0.9
202310,60.9,0.6
202311,50.0,0.9
202312,44.2,0.5
