#  Texas Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,50.7,1.8
202002,49.4,1.6
202003,63.2,3.2
202004,65.1,-0.5
202005,74.6,0.0
202006,80.7,-1.1
202007,85.2,0.3
202008,84.4,0.1
202009,74.1,-3.9
202010,65.9,-1.7
202011,60.6,3.5
202012,48.5,-3.9
202101,47.3,-1.6
202102,44.0,-3.8
202103,59.4,-0.6
202104,63.7,-1.9
202105,71.9,-2.7
202106,80.3,-1.5
202107,80.9,-4.0
202108,81.9,-2.4
202109,78.2,0.2
202110,69.8,2.2
202111,57.3,0.2
202112,59.1,6.7
202201,45.8,-3.1
202202,45.8,-2.0
202203,57.0,-3.0
202204,68.8,3.2
202205,78.0,3.4
202206,83.8,2.0
202207,87.2,2.3
202208,83.4,-0.9
202209,77.8,-0.2
202210,66.4,-1.2
202211,54.0,-3.1
202212,50.0,-2.4
202301,51.6,2.7
202302,52.0,4.2
202303,60.4,0.4
202304,64.6,-1.0
202305,73.7,-0.9
202306,82.3,0.5
202307,86.2,1.3
202308,87.5,3.2
202309,81.8,3.8
202310,68.4,0.8
202311,56.4,-0.7
202312,51.8,-0.6
