#  Utah Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,28.7,0.5
202002,31.1,1.2
202003,40.8,2.9
202004,47.4,1.0
202005,59.0,1.8
202006,65.4,-1.5
202007,73.7,-1.6
202008,75.8,3.3
202009,63.9,-0.5
202010,52.8,2.2
202011,38.8,0.6
202012,27.2,-2.6
202101,28.1,-0.1
202102,32.2,2.3
202103,38.4,0.5
202104,47.4,1.0
202105,57.1,-0.1
202106,71.9,5.0
202107,76.2,0.9
202108,70.9,-1.6
202109,64.4,0.0
202110,47.9,-2.7
202111,42.5,4.3
202112,31.1,1.3
202201,29.6,1.4
202202,29.6,-0.3
202203,40.2,2.3
202204,46.4,0.0
202205,55.0,-2.2
202206,67.6,0.7
202207,75.5,0.2
202208,72.4,-0.1
202209,66.6,2.2
202210,50.8,0.2
202211,32.5,-5.7
202212,28.2,-1.6
202301,26.2,-2.0
202302,26.5,-3.4
202303,32.3,-5.6
202304,44.4,-2.0
202305,57.8,0.6
202306,62.8,-4.1
202307,75.8,0.5
202308,70.9,-1.6
202309,62.5,-1.9
202310,50.9,0.3
202311,38.9,0.7
202312,32.6,2.8
