#  Vermont Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,23.4,2.7
202002,22.4,1.1
202003,33.0,1.8
202004,38.8,-3.2
202005,52.6,-1.1
202006,62.8,0.0
202007,70.9,2.7
202008,65.2,-1.4
202009,57.2,-1.7
202010,46.4,-3.1
202011,37.9,2.0
202012,27.3,-1.2
202101,20.5,-0.2
202102,18.8,-2.5
202103,30.9,-0.3
202104,43.2,1.2
202105,53.3,-0.4
202106,65.4,2.6
202107,64.9,-3.3
202108,68.8,2.2
202109,59.5,0.6
202110,51.6,2.1
202111,34.3,-1.6
202112,28.2,-0.3
202201,11.8,-8.9
202202,21.0,-0.3
202203,30.7,-0.5
202204,41.3,-0.7
202205,56.9,3.2
202206,61.4,-1.4
202207,67.4,-0.8
202208,68.4,1.8
202209,57.8,-1.1
202210,48.0,-1.5
202211,38.6,2.7
202212,27.2,-1.3
202301,27.2,6.5
202302,22.9,1.6
202303,30.2,-1.0
202304,44.8,2.8
202305,51.8,-1.9
202306,61.7,-1.1
202307,69.6,1.4
202308,63.9,-2.7
202309,60.9,2.0
202310,51.8,2.3
202311,32.9,-3.0
202312,31.1,2.6
