#  Virginia Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,40.6,2.4
202002,42.4,0.9
202003,51.7,2.6
202004,53.3,-2.1
202005,60.5,-1.8
202006,71.3,0.4
202007,78.7,1.6
202008,75.5,0.3
202009,66.4,-1.4
202010,59.0,0.5
202011,51.3,3.6
202012,38.4,-2.6
202101,36.6,-1.6
202102,36.6,-4.9
202103,48.5,-0.6
202104,55.3,-0.1
202105,62.3,0.0
202106,72.0,1.1
202107,75.9,-1.2
202108,76.4,1.2
202109,68.4,0.6
202110,62.3,3.8
202111,44.5,-3.2
202112,45.8,4.8
202201,32.8,-5.4
202202,40.7,-0.8
202203,48.9,-0.2
202204,55.2,-0.2
202205,65.0,2.7
202206,72.2,1.3
202207,76.9,-0.2
202208,74.7,-0.5
202209,67.9,0.1
202210,53.9,-4.6
202211,49.0,1.3
202212,37.3,-3.7
202301,42.7,4.5
202302,46.3,4.8
202303,47.4,-1.7
202304,57.8,2.4
202305,61.4,-0.9
202306,68.0,-2.9
202307,76.7,-0.4
202308,74.3,-0.9
202309,68.4,0.6
202310,58.6,0.1
202311,45.9,-1.8
202312,42.3,1.3
