#  Washington Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,34.2,0.9
202002,35.6,2.3
202003,38.3,-0.7
202004,46.0,1.8
202005,53.3,0.1
202006,57.9,-2.4
202007,64.8,-2.7
202008,65.7,-1.5
202009,61.2,1.4
202010,48.4,-1.0
202011,37.6,0.8
202012,33.7,2.3
202101,34.6,1.3
202102,31.4,-1.9
202103,39.7,0.7
202104,46.8,2.6
202105,52.6,-0.6
202106,64.6,4.3
202107,69.7,2.2
202108,65.8,-1.4
202109,58.0,-1.8
202110,46.6,-2.8
202111,39.9,3.1
202112,29.4,-2.0
202201,31.2,-2.1
202202,33.6,0.3
202203,41.5,2.5
202204,40.9,-3.3
202205,48.5,-4.7
202206,58.0,-2.3
202207,67.9,0.4
202208,69.8,2.6
202209,61.7,1.9
202210,53.6,4.2
202211,32.1,-4.7
202212,26.3,-5.1
202301,33.2,-0.1
202302,32.4,-0.9
202303,36.6,-2.4
202304,43.2,-1.0
202305,58.2,5.0
202306,60.7,0.4
202307,67.5,0.0
202308,67.6,0.4
202309,58.3,-1.5
202310,49.1,-0.3
202311,37.4,0.6
202312,36.3,4.9
