#  West Virginia Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,37.3,3.3
202002,38.0,1.4
202003,47.8,2.5
202004,48.9,-2.3
202005,57.8,-1.7
202006,68.1,0.4
202007,75.6,2.1
202008,72.5,0.3
202009,64.2,-0.7
202010,55.4,0.2
202011,47.5,3.5
202012,34.3,-3.5
202101,32.6,-1.4
202102,31.6,-5.0
202103,45.8,0.5
202104,51.3,0.1
202105,58.7,-0.8
202106,69.2,1.5
202107,72.2,-1.3
202108,73.9,1.7
202109,65.5,0.6
202110,59.4,4.2
202111,40.9,-3.1
202112,42.6,4.8
202201,27.3,-6.7
202202,35.3,-1.3
202203,44.6,-0.7
202204,50.8,-0.4
202205,63.0,3.5
202206,68.7,1.0
202207,73.0,-0.5
202208,71.7,-0.5
202209,64.2,-0.7
202210,50.3,-4.9
202211,44.9,0.9
202212,34.4,-3.4
202301,38.9,4.9
202302,41.6,5.0
202303,43.0,-2.3
202304,53.9,2.7
202305,58.4,-1.1
202306,64.8,-2.9
202307,73.0,-0.5
202308,70.6,-1.6
202309,65.5,0.6
202310,55.7,0.5
202311,42.5,-1.5
202312,39.8,2.0
