#  Wisconsin Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,21.5,3.0
202002,19.2,2.6
202003,34.3,1.9
202004,40.7,-1.3
202005,54.1,-1.6
202006,66.5,-0.5
202007,71.9,2.1
202008,68.3,0.1
202009,57.3,-3.2
202010,41.3,-6.6
202011,38.6,3.0
202012,24.2,-0.9
202101,20.3,1.8
202102,10.7,-5.9
202103,36.9,4.5
202104,45.0,3.0
202105,54.9,-0.8
202106,69.4,2.4
202107,69.4,-0.4
202108,69.2,1.0
202109,61.2,0.7
202110,53.5,5.6
202111,33.9,-1.7
202112,24.8,-0.3
202201,9.2,-9.3
202202,14.9,-1.7
202203,29.5,-2.9
202204,39.0,-3.0
202205,57.2,1.5
202206,65.5,-1.5
202207,69.4,-0.4
202208,67.5,-0.7
202209,60.4,-0.1
202210,47.2,-0.7
202211,35.3,-0.3
202212,19.2,-5.9
202301,23.0,4.5
202302,21.7,5.1
202303,28.7,-3.7
202304,43.4,1.4
202305,56.7,1.0
202306,66.6,-0.4
202307,68.6,-1.2
202308,67.7,-0.5
202309,63.2,2.7
202310,49.4,1.5
202311,34.5,-1.1
202312,32.2,7.1
