#  Colorado Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,27.4,1.3
202002,26.4,1.1
202003,38.8,3.8
202004,43.4,0.5
202005,55.6,1.5
202006,65.0,1.2
202007,69.3,-0.5
202008,70.1,1.8
202009,58.8,-2.3
202010,47.1,-0.5
202011,38.5,1.5
202012,26.7,-2.1
202101,26.7,0.6
202102,24.8,-0.5
202103,35.8,0.8
202104,43.1,0.2
202105,52.9,-1.2
202106,65.7,1.9
202107,70.0,0.2
202108,67.4,-0.9
202109,62.4,1.3
202110,47.8,0.2
202111,40.7,3.7
202112,32.4,3.6
202201,26.7,0.6
202202,25.1,-0.2
202203,35.1,0.1
202204,43.9,1.0
202205,53.4,-0.7
202206,64.4,0.6
202207,70.4,0.6
202208,67.8,-0.5
202209,62.5,1.4
202210,47.7,0.1
202211,31.6,-5.4
202212,25.7,-3.1
202301,23.6,-2.5
202302,24.9,-0.4
202303,30.3,-4.7
202304,41.2,-1.7
202305,54.4,0.3
202306,59.9,-3.9
202307,69.4,-0.4
202308,67.7,-0.6
202309,60.5,-0.6
202310,47.8,0.2
202311,37.0,0.0
202312,30.3,1.5
