#  Connecticut Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,33.0,2.1
202002,33.9,2.2
202003,41.4,1.8
202004,44.4,-3.5
202005,56.4,-1.6
202006,68.4,1.1
202007,75.6,1.7
202008,72.6,0.3
202009,63.5,-0.8
202010,53.2,-1.5
202011,45.4,2.6
202012,33.6,-2.1
202101,29.2,-1.7
202102,28.5,-3.2
202103,39.3,-0.3
202104,48.7,0.8
202105,57.8,-0.2
202106,69.2,1.9
202107,71.1,-2.8
202108,72.8,0.5
202109,65.2,0.9
202110,56.8,2.1
202111,41.0,-1.8
202112,37.0,1.3
202201,24.2,-6.7
202202,30.6,-1.1
202203,39.0,-0.6
202204,47.6,-0.3
202205,60.7,2.7
202206,66.3,-1.0
202207,74.2,0.3
202208,74.5,2.2
202209,63.6,-0.7
202210,52.5,-2.2
202211,45.2,2.4
202212,33.5,-2.2
202301,37.1,6.2
202302,33.6,1.9
202303,38.8,-0.8
202304,51.0,3.1
202305,56.9,-1.1
202306,65.3,-2.0
202307,74.7,0.8
202308,69.4,-2.9
202309,65.0,0.7
202310,56.1,1.4
202311,39.6,-3.2
202312,38.5,2.8
