#  Delaware Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,40.2,2.4
202002,41.9,2.0
202003,49.5,2.0
202004,51.8,-2.9
202005,60.6,-2.0
202006,73.7,1.2
202007,80.7,1.7
202008,77.2,0.2
202009,68.7,-0.8
202010,60.0,0.2
202011,51.8,3.5
202012,39.7,-1.6
202101,36.2,-1.6
202102,35.6,-4.3
202103,47.6,0.1
202104,55.3,0.6
202105,63.3,0.7
202106,73.8,1.3
202107,77.7,-1.3
202108,76.9,-0.1
202109,70.1,0.6
202110,63.2,3.4
202111,45.1,-3.2
202112,44.0,2.7
202201,31.6,-6.2
202202,39.1,-0.8
202203,47.2,-0.3
202204,53.2,-1.5
202205,65.1,2.5
202206,72.4,-0.1
202207,79.0,0.0
202208,78.1,1.1
202209,69.3,-0.2
202210,55.8,-4.0
202211,49.8,1.5
202212,37.8,-3.5
202301,43.2,5.4
202302,42.8,2.9
202303,45.6,-1.9
202304,58.6,3.9
202305,61.3,-1.3
202306,70.1,-2.4
202307,78.5,-0.5
202308,75.7,-1.3
202309,69.9,0.4
202310,60.1,0.3
202311,46.3,-2.0
202312,43.6,2.3
