#  Florida Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,61.8,1.8
202002,63.6,-0.9
202003,71.0,1.9
202004,73.1,1.1
202005,75.8,-0.6
202006,81.0,0.0
202007,83.0,-0.1
202008,83.2,-0.2
202009,80.6,0.4
202010,77.2,2.8
202011,70.8,3.2
202012,57.6,-4.1
202101,58.7,-1.3
202102,63.7,-0.8
202103,67.8,-1.3
202104,69.9,-2.1
202105,76.1,-0.3
202106,80.7,-0.3
202107,81.9,-1.2
202108,82.6,-0.8
202109,79.7,-0.5
202110,75.3,0.9
202111,63.4,-4.2
202112,66.5,4.8
202201,57.6,-2.4
202202,63.2,-1.3
202203,68.6,-0.5
202204,72.0,0.0
202205,77.7,1.3
202206,82.0,1.0
202207,83.2,0.1
202208,83.0,-0.4
202209,80.0,-0.2
202210,71.8,-2.6
202211,69.7,2.1
202212,61.5,-0.2
202301,61.8,1.8
202302,67.4,2.9
202303,69.0,-0.1
202304,73.1,1.1
202305,76.0,-0.4
202306,80.4,-0.6
202307,84.1,1.0
202308,84.8,1.4
202309,80.4,0.2
202310,73.4,-1.0
202311,66.6,-1.0
202312,61.2,-0.5
