#  Georgia Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,51.4,2.3
202002,51.9,-1.2
202003,63.1,2.8
202004,63.1,0.0
202005,69.4,-1.0
202006,76.9,-0.5
202007,81.5,0.6
202008,80.4,0.0
202009,74.3,0.1
202010,68.5,2.8
202011,60.4,3.8
202012,46.4,-4.2
202101,47.7,-1.4
202102,49.5,-3.6
202103,59.9,-0.4
202104,62.1,-1.0
202105,69.4,-1.0
202106,77.0,-0.4
202107,79.3,-1.6
202108,80.0,-0.4
202109,73.8,-0.4
202110,67.2,1.5
202111,52.7,-3.9
202112,56.6,6.0
202201,45.9,-3.2
202202,52.8,-0.3
202203,59.0,-1.3
202204,63.0,-0.1
202205,73.2,2.8
202206,80.1,2.7
202207,81.2,0.3
202208,79.5,-0.9
202209,74.0,-0.2
202210,62.1,-3.6
202211,57.5,0.9
202212,49.1,-1.5
202301,51.5,2.4
202302,58.1,5.0
202303,59.3,-1.0
202304,64.1,1.0
202305,69.5,-0.9
202306,75.7,-1.7
202307,81.5,0.6
202308,81.6,1.2
202309,74.5,0.3
202310,64.9,-0.8
202311,55.7,-0.9
202312,50.1,-0.5
