#  Alabama Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 2020-2023
# Missing: -99
Date,Value,Anomaly
202001,49.5,1.6
202002,51.0,-0.1
202003,63.5,3.7
202004,62.0,-0.4
202005,68.9,-1.6
202006,76.9,-0.8
202007,80.9,0.2
202008,80.2,-0.2
202009,74.3,-0.1
202010,66.9,1.7
202011,58.4,3.3
202012,45.9,-4.3
202101,46.6,-1.3
202102,46.7,-4.4
202103,59.6,-0.2
202104,61.6,-0.8
202105,69.4,-1.1
202106,77.0,-0.7
202107,79.3,-1.4
202108,80.0,-0.4
202109,73.9,-0.5
202110,67.3,2.1
202111,52.2,-2.9
202112,56.8,6.6
202201,43.9,-4.0
202202,50.1,-1.0
202203,57.4,-2.4
202204,62.6,0.2
202205,73.5,3.0
202206,80.4,2.7
202207,81.7,1.0
202208,79.3,-1.1
202209,73.7,-0.7
202210,61.2,-4.0
202211,55.3,0.2
202212,49.1,-1.1
202301,51.4,3.5
202302,56.4,5.3
202303,58.7,-1.1
202304,63.2,0.8
202305,70.3,-0.2
202306,76.6,-1.1
202307,81.0,0.3
202308,82.1,1.7
202309,75.7,1.3
202310,65.2,0.0
202311,54.5,-0.6
202312,48.8,-1.4
